,location,crop,season,indicator,Unit,Date,Value,State,mean
187,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2004,89535.0,Telangana,79.6026315789
188,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2005,69279.0,Telangana,79.6026315789
189,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2006,85322.0,Telangana,79.6026315789
190,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2007,68381.0,Telangana,79.6026315789
191,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2008,78000.0,Telangana,79.6026315789
192,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2009,56596.0,Telangana,79.6026315789
193,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2010,70743.0,Telangana,79.6026315789
194,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2011,36751.0,Telangana,79.6026315789
195,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2012,42267.0,Telangana,79.6026315789
196,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,1999,0.70690858339,Telangana,79.6026315789
197,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2000,0.7315432715,Telangana,79.6026315789
198,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2001,0.98747097083,Telangana,79.6026315789
199,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2002,1.1264501056,Telangana,79.6026315789
200,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2003,0.91398490051,Telangana,79.6026315789
201,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2004,0.90778667748,Telangana,79.6026315789
202,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2005,0.74364011077,Telangana,79.6026315789
203,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2006,1.046548996,Telangana,79.6026315789
204,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2007,0.88674058225,Telangana,79.6026315789
205,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2008,1.4716981132,Telangana,79.6026315789
206,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2009,1.2585838819,Telangana,79.6026315789
207,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2010,1.2130976061,Telangana,79.6026315789
208,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2011,0.90250730581,Telangana,79.6026315789
209,Adilabad,Jowar,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2012,1.5325791363,Telangana,79.6026315789
210,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,1999,49800.0,Telangana,79.6026315789
